Serial No,GRE Score,TOEFL Score,University Rating, SOP,LOR ,CGPA,Research,Chance of Admit 
69,317,111,3,3.5,3.5,9.18,1,0.68
70,327,116,4,4.0,4.0,9.28,1,0.79
71,332,117,5,5.0,5.0,9.54,1,0.94
72,340,112,5,4.5,4.5,9.9,1,0.96
73,320,111,5,5.0,5.0,9.5,1,0.93
74,317,107,4,4.0,4.0,9.1,1,0.84
75,313,106,3,3.5,5.0,8.92,0,0.73
76,333,118,3,2.5,4.5,8.9,1,0.81
77,327,113,3,3.5,2.5,8.67,1,0.75
78,298,99,2,3.0,2.0,8.16,0,0.63
79,293,94,2,3.0,1.5,7.49,1,0.42
80,290,92,1,1.0,2.0,7.19,0,0.43
81,314,106,3,2.0,3.0,7.94,1,0.51
82,337,119,4,5.0,5.0,9.59,1,0.96
83,322,110,5,5.0,4.5,9.22,1,0.92
84,322,116,5,4.5,4.5,9.41,1,0.94
85,339,116,5,4.5,4.5,9.48,1,0.94
86,318,105,4,4.0,3.5,8.59,0,0.75
87,315,106,3,4.0,4.0,8.49,0,0.73
88,317,110,2,3.5,3.0,8.28,0,0.68
89,318,108,3,4.5,3.0,8.3,0,0.67
90,318,108,4,5.0,3.5,8.59,1,0.72
91,320,112,2,4.5,4.0,8.05,1,0.67
92,303,99,3,5.0,3.5,7.74,0,0.4
93,295,100,2,4.5,3.0,8.05,0,0.34
94,299,97,2,3.0,3.0,7.94,1,0.44
95,306,102,2,2.0,2.5,7.68,0,0.39
96,301,98,4,1.0,2.5,7.85,0,0.39
97,308,100,3,3.0,2.5,8.11,0,0.5
98,330,118,3,4.5,4.0,8.92,1,0.85
99,327,118,4,5.0,4.5,9.25,1,0.88
100,324,112,3,4.0,4.0,8.79,1,0.79
101,325,109,3,3.5,3.5,8.73,1,0.76
102,319,107,2,2.5,2.5,8.38,0,0.69
103,312,103,2,3.5,3.5,8.22,0,0.6
104,318,103,2,4.0,4.0,8.51,0,0.56
105,325,110,3,3.5,3.0,9.06,1,0.73
106,315,110,3,4.0,4.5,8.68,1,0.69
107,327,113,5,4.5,4.5,9.08,1,0.88
108,340,118,4,3.5,4.5,9.51,1,0.92
109,334,119,5,5.0,5.0,9.51,1,0.97
110,307,102,5,5.0,4.0,8.67,0,0.7
111,308,106,5,2.5,3.0,8.57,0,0.62
112,318,110,4,4.0,3.5,8.67,1,0.68
113,297,108,3,3.5,3.5,8.22,1,0.6
114,317,110,1,4.5,3.5,8.4,0,0.68
115,311,106,3,3.0,3.0,8.53,1,0.61
116,314,106,5,4.5,4.0,9.15,1,0.69
117,301,104,3,4.0,3.5,8.7,0,0.58
118,290,102,4,2.0,2.0,7.41,0,0.44
119,301,100,2,3.0,3.5,7.32,0,0.48
120,329,103,5,3.5,3.5,8.66,1,0.71
121,337,119,5,5.0,5.0,9.62,1,0.97
122,331,120,5,4.5,4.5,9.3,1,0.92
123,311,104,4,1.5,2.0,8.34,0,0.57
124,308,108,3,3.5,3.5,8.17,0,0.6
125,307,105,4,2.5,3.0,8.64,1,0.62
126,296,100,3,2.5,2.5,8.67,1,0.63
127,321,114,3,4.0,2.5,9.23,1,0.82
128,320,114,3,2.5,2.0,8.69,1,0.79
129,331,112,3,3.5,3.5,9.23,1,0.86
130,330,118,5,5.0,4.5,9.28,1,0.91
131,340,117,5,4.0,5.0,9.87,1,0.97
132,304,104,5,5.0,4.5,8.73,0,0.78
133,314,105,5,3.0,3.5,8.8,0,0.73
134,329,114,5,4.0,4.5,8.84,0,0.82
135,336,108,5,4.0,4.0,9.15,1,0.86
136,316,112,4,3.5,4.0,8.77,1,0.85
137,311,106,3,4.5,4.0,8.46,0,0.77
138,311,103,2,1.5,3.5,8.04,1,0.7
139,327,118,2,4.5,3.0,9.2,1,0.82
140,318,109,1,3.0,4.0,9.16,0,0.78
141,325,109,2,4.0,3.0,8.97,1,0.81
142,334,115,2,5.0,3.5,9.43,1,0.91
143,329,116,5,4.0,3.5,9.65,1,0.94
144,338,120,4,4.5,4.5,9.78,1,0.97
145,328,113,2,3.0,3.5,9.08,1,0.82
146,322,112,2,2.0,2.5,8.89,1,0.83
147,309,106,3,2.0,2.5,8.4,0,0.73
148,323,116,3,3.0,3.0,9.08,1,0.83
149,337,117,5,4.0,3.0,9.68,1,0.96
150,315,106,2,3.0,2.5,8.48,1,0.81
151,339,117,4,4.5,4.0,9.46,1,0.96
152,333,119,5,5.0,5.0,9.28,1,0.96
153,324,110,5,5.0,5.0,9.22,1,0.86
154,317,106,3,3.0,4.0,8.45,0,0.74
155,327,107,3,3.5,3.0,8.68,1,0.8
156,316,110,3,3.0,3.5,8.84,0,0.8
157,311,108,3,1.5,3.0,8.18,0,0.69
158,308,106,2,2.0,2.0,8.4,0,0.67
159,304,104,2,2.0,3.0,8.03,0,0.6
160,296,99,1,1.5,2.0,7.93,0,0.52
161,318,105,1,1.5,2.0,7.84,0,0.59
162,298,100,1,1.0,3.0,7.35,0,0.52
163,318,107,3,2.5,3.0,8.47,1,0.67
164,315,107,3,3.0,3.0,8.5,0,0.67
165,323,108,4,4.5,4.0,8.69,1,0.75
166,321,113,5,4.5,4.5,9.01,0,0.8
167,301,100,3,3.0,5.0,8.32,0,0.63
168,313,101,3,2.0,3.5,8.21,0,0.63
169,290,97,2,2.0,4.0,7.84,0,0.61
170,313,100,2,2.0,2.5,8.08,0,0.65
171,314,105,2,2.5,3.5,8.19,1,0.72
172,335,117,5,4.0,4.5,9.07,1,0.89
173,319,109,4,4.0,5.0,8.97,1,0.82
174,323,113,4,4.0,4.0,9.12,1,0.87
175,322,110,4,4.0,4.0,9.0,1,0.87
176,321,113,4,5.0,3.5,8.8,1,0.85
177,327,118,4,4.0,4.5,9.12,1,0.89
178,319,112,3,3.5,3.5,9.03,0,0.82
179,312,108,3,2.5,2.5,8.34,0,0.73
180,307,104,2,3.0,3.0,8.23,0,0.72
181,306,103,3,3.0,2.5,8.27,0,0.72
182,306,104,2,2.5,2.0,8.45,0,0.7
183,298,97,2,2.5,3.5,7.71,0,0.63
184,319,109,3,4.0,4.0,9.0,0,0.78
185,317,106,2,3.0,4.0,8.45,0,0.72
186,327,115,4,4.5,4.0,9.22,1,0.9
187,321,109,3,3.5,2.5,8.84,1,0.86
188,334,119,5,4.5,3.0,9.5,1,0.95
189,329,114,5,4.5,3.5,9.16,1,0.91
190,321,112,5,5.0,4.5,9.08,1,0.86
191,329,112,5,4.5,4.0,9.49,1,0.95
192,329,110,5,4.5,5.0,9.29,1,0.91
193,327,113,5,4.5,4.0,9.0,1,0.87
194,337,118,5,4.5,5.0,9.52,1,0.94
195,314,109,3,4.0,3.0,8.69,1,0.79
196,308,110,2,3.0,3.5,8.53,1,0.79
197,303,104,2,2.5,2.5,8.11,0,0.7
198,307,105,2,4.0,2.5,8.26,0,0.7
199,314,104,3,5.0,4.0,8.57,0,0.73
200,316,107,3,4.0,5.0,8.85,0,0.75
201,321,108,3,2.5,3.5,8.85,1,0.79
202,319,111,2,4.0,3.0,8.7,1,0.76
203,335,117,5,4.0,4.5,9.77,1,0.93
204,335,120,4,3.5,5.0,9.84,1,0.95
205,296,106,3,3.5,4.0,8.43,0,0.67
206,294,98,2,2.0,3.0,7.73,0,0.56
207,317,95,2,3.5,2.5,8.08,0,0.63
208,307,99,3,3.5,4.0,7.77,1,0.62
209,304,105,2,3.5,3.0,8.04,0,0.63
210,299,105,3,4.0,3.5,8.06,1,0.67
211,322,107,4,4.5,4.0,9.1,1,0.78
212,326,111,5,5.0,4.5,9.22,1,0.84
213,340,120,4,4.5,5.0,9.68,1,0.97
214,332,120,5,5.0,4.5,9.82,1,0.96
215,327,118,4,4.0,5.0,9.23,1,0.91
216,331,118,5,5.0,4.5,9.45,1,0.95
217,324,110,4,5.0,5.0,9.28,1,0.91
218,324,110,4,4.5,4.5,9.23,1,0.89
219,323,110,4,3.0,3.5,8.87,1,0.82
220,314,105,2,4.0,3.0,8.56,0,0.74
221,314,101,3,4.5,4.0,8.62,0,0.75
222,317,108,3,4.0,4.0,8.59,0,0.75
223,319,110,4,4.5,4.0,8.72,0,0.73
224,310,108,2,3.5,3.5,8.55,0,0.73
225,304,106,2,3.5,2.0,8.08,0,0.66
226,296,98,2,2.5,2.5,7.83,0,0.61
227,303,109,3,3.5,4.0,8.24,0,0.61
228,312,111,1,3.5,3.0,8.46,0,0.63
229,312,110,3,4.0,3.0,8.28,0,0.64
230,330,114,5,4.0,3.5,9.18,1,0.89
231,307,103,3,4.0,4.5,8.48,0,0.69
232,315,102,3,3.5,2.5,8.26,1,0.71
233,314,106,2,3.0,3.5,8.25,0,0.69
234,305,102,2,2.5,3.5,8.14,0,0.65
235,334,116,5,5.0,4.0,9.56,1,0.96
236,331,112,5,4.5,4.0,9.37,1,0.92
237,325,113,4,4.0,4.5,9.08,1,0.83
238,328,112,5,4.5,4.5,9.07,1,0.84
239,309,104,2,2.5,3.5,8.34,0,0.67
240,297,99,1,1.5,2.0,7.82,0,0.58
241,295,101,1,2.0,3.0,7.91,0,0.6
242,315,104,2,2.0,2.0,8.06,0,0.64
243,325,114,3,3.5,3.5,8.83,1,0.7
244,329,113,3,3.5,3.0,9.22,1,0.79
245,318,106,2,3.0,3.5,8.69,0,0.65
246,329,110,4,4.0,2.0,9.1,1,0.81
247,318,104,3,3.0,3.5,8.68,0,0.72
248,313,103,2,2.5,3.5,8.47,0,0.72
249,329,108,3,4.0,4.0,9.02,1,0.81
250,317,113,4,4.0,4.0,8.83,1,0.79
251,317,102,3,3.0,2.5,8.66,1,0.73
252,320,98,2,2.5,2.5,9.08,0,0.71
253,318,99,2,3.0,3.5,8.75,1,0.73
254,338,117,4,4.5,5.0,9.76,1,0.97
255,324,115,4,4.0,5.0,9.15,0,0.87
256,311,113,5,4.0,4.5,8.45,0,0.85
257,308,100,3,3.5,4.0,8.63,0,0.77
258,324,102,3,4.0,5.0,8.76,1,0.8
259,329,103,4,5.0,4.5,8.79,1,0.78
260,332,117,4,5.0,4.5,9.27,1,0.88
261,329,108,5,5.0,3.5,9.26,1,0.89
262,308,103,3,3.5,4.0,7.83,0,0.68
263,307,105,2,2.5,4.0,8.37,1,0.71
264,328,110,3,3.0,1.5,8.9,1,0.73
265,324,114,2,2.5,2.5,8.79,1,0.76
266,318,102,3,2.5,3.0,8.78,0,0.74
267,311,107,2,2.0,2.5,8.46,0,0.72
268,321,109,3,2.5,3.5,8.56,1,0.78
269,318,110,4,4.5,4.5,8.91,0,0.77
270,307,108,4,4.0,5.0,8.24,0,0.75
271,309,107,2,2.5,3.5,8.23,1,0.74
272,294,93,2,1.5,2.0,7.75,0,0.5
273,292,93,1,1.5,1.5,7.39,0,0.45
274,316,97,1,1.0,2.0,8.17,1,0.53
275,320,102,2,2.0,2.5,8.12,0,0.64
276,321,108,3,3.5,3.5,9.02,1,0.77
277,327,112,5,5.0,4.5,9.31,1,0.87
278,321,101,2,2.5,3.0,8.71,0,0.7
279,313,101,2,2.5,3.5,8.59,0,0.67
280,304,100,2,3.0,4.5,8.77,0,0.67
281,313,98,3,4.5,4.0,8.77,1,0.68
282,313,107,3,4.0,4.5,8.91,1,0.76
283,314,108,3,3.5,4.5,8.76,1,0.83
284,321,111,3,3.0,3.0,9.01,1,0.8
285,335,112,4,4.5,5.0,9.65,1,0.92
286,331,116,5,4.0,3.5,9.33,1,0.92
287,337,119,5,4.5,4.0,9.19,1,0.93
288,321,115,5,5.0,4.5,9.0,1,0.87
289,314,104,4,4.5,5.0,9.09,0,0.81
290,314,109,3,4.5,3.5,8.94,0,0.79
291,303,104,2,2.5,2.5,7.73,0,0.57
292,299,100,2,1.5,1.0,7.81,0,0.53
293,298,99,2,1.0,2.0,7.83,0,0.54
294,312,97,1,3.5,3.0,8.14,1,0.64
295,323,102,2,2.5,2.5,8.46,1,0.66
296,327,101,2,3.0,3.0,8.88,0,0.75
297,307,106,3,3.0,3.0,8.58,0,0.73
298,325,120,3,3.5,4.5,9.39,0,0.9
299,328,110,3,4.0,4.5,9.13,1,0.86
300,303,111,3,3.0,3.5,8.65,0,0.68
301,309,104,2,2.5,2.0,7.87,0,0.6
302,320,104,2,2.5,3.0,8.73,0,0.64
303,315,106,2,3.0,3.0,8.33,1,0.6
304,323,106,3,3.5,3.5,8.65,1,0.73
305,311,105,2,3.0,2.0,8.35,0,0.61
306,317,107,3,3.5,3.5,8.67,1,0.71
307,324,109,3,4.0,3.5,8.92,1,0.77
308,330,113,4,4.0,4.0,9.24,1,0.85
309,316,109,3,3.5,3.0,8.46,0,0.72
310,303,115,4,4.0,3.0,8.57,0,0.7
311,322,106,3,3.0,3.5,8.77,1,0.78
312,330,108,4,4.0,4.0,9.1,1,0.83
313,316,112,4,4.0,4.5,9.31,1,0.85
314,303,99,3,3.5,3.0,8.03,0,0.67
315,300,102,1,3.0,3.5,7.96,0,0.6
316,307,100,1,2.0,3.0,8.03,0,0.6
317,297,103,2,2.0,2.0,7.82,0,0.54
318,294,98,1,1.0,2.0,7.85,0,0.54
319,327,111,3,2.5,1.5,8.89,1,0.8
320,325,116,4,3.5,3.5,8.65,1,0.82
321,318,106,3,4.0,3.5,8.64,1,0.76
322,316,101,3,4.0,4.5,8.25,1,0.68
323,316,106,2,2.0,4.5,8.19,0,0.71
324,305,101,2,1.5,2.5,8.21,0,0.6
325,311,107,3,3.0,2.5,8.16,0,0.66
326,322,114,3,3.5,4.0,8.96,1,0.76
327,302,99,3,2.5,2.0,8.14,0,0.65
328,295,101,2,3.0,2.0,8.02,0,0.7
329,325,115,4,4.0,3.5,8.76,1,0.8
330,295,100,2,2.5,1.5,7.94,0,0.45
331,324,114,3,3.5,3.0,8.7,1,0.79
332,306,105,2,2.5,1.5,7.83,1,0.68
333,315,105,3,3.5,3.0,8.19,1,0.77
334,321,110,3,3.5,4.0,8.82,1,0.75
335,312,109,4,4.5,4.0,8.69,1,0.72
336,322,108,4,3.5,5.0,9.02,1,0.81
337,316,112,3,3.0,2.5,8.91,1,0.74
338,330,119,5,5.0,5.0,9.35,1,0.93
339,332,109,5,4.0,4.0,9.11,1,0.87
340,326,106,5,3.5,4.0,8.71,1,0.82
341,313,105,3,4.0,3.0,8.67,1,0.76
342,321,111,3,3.5,3.5,8.53,1,0.76
343,309,106,3,3.5,3.5,8.27,0,0.6
344,305,104,2,3.0,4.0,8.27,0,0.6
345,290,96,2,1.5,2.5,7.25,0,0.45
346,318,95,2,1.5,2.0,7.71,0,0.52
347,302,97,2,1.5,1.5,7.37,0,0.44
348,299,92,1,1.0,1.0,7.29,0,0.4
349,304,102,1,2.0,1.5,7.42,0,0.58
350,317,100,3,2.5,3.0,8.38,0,0.65
351,315,108,3,3.0,3.5,8.34,1,0.74
352,325,109,4,4.0,3.5,8.76,1,0.73
353,298,103,2,3.0,3.5,7.89,1,0.64
354,302,102,3,3.0,2.5,8.05,0,0.62
355,298,101,2,2.5,3.5,7.76,0,0.62
356,315,107,2,2.0,4.0,8.0,0,0.75
357,325,109,3,3.0,4.0,8.72,1,0.79
358,301,106,1,3.5,3.5,8.01,1,0.68
359,317,105,2,2.5,2.0,7.79,0,0.71
360,323,105,2,2.0,1.5,8.41,0,0.81
361,323,110,3,4.0,5.0,8.65,1,0.86
362,332,115,4,4.0,4.0,9.51,1,0.93
363,334,115,5,4.5,4.5,9.06,1,0.88
364,306,104,2,2.0,3.0,8.39,0,0.69
365,312,101,3,4.0,4.5,8.78,1,0.77
366,326,115,4,4.0,2.5,9.08,1,0.84
367,322,106,3,3.5,4.0,8.54,1,0.76
368,311,100,2,1.0,2.5,7.33,0,0.57
369,302,92,2,1.0,2.0,7.95,0,0.54
370,300,99,1,2.0,3.0,8.07,1,0.67
371,307,103,2,2.0,2.5,8.01,0,0.69
372,321,111,3,4.0,3.0,9.36,1,0.89
373,340,120,4,4.5,4.0,9.69,1,0.97
374,319,111,3,2.5,3.0,8.39,1,0.78
375,311,103,2,2.0,2.0,7.43,0,0.35
376,300,100,2,2.0,2.5,7.56,0,0.35
377,293,98,2,2.0,2.0,7.35,0,0.34
378,290,101,1,1.5,2.5,7.57,0,0.47
379,299,99,1,2.0,3.0,7.51,0,0.55
380,315,97,1,2.0,3.0,8.42,1,0.72
381,323,105,3,4.0,4.0,9.12,1,0.82
382,318,103,3,2.5,3.5,8.71,1,0.71
383,323,110,3,4.5,4.5,9.02,1,0.81
384,299,101,3,3.0,3.5,8.21,0,0.62
385,337,113,4,5.0,5.0,9.78,1,0.96
386,335,120,5,4.5,5.0,9.89,1,0.96
387,305,102,2,3.0,3.5,7.98,0,0.49
388,310,108,3,2.0,3.5,8.28,0,0.58
389,290,99,2,1.5,2.0,7.52,0,0.45
390,319,109,3,4.0,3.5,8.51,1,0.76
391,320,100,2,2.5,2.5,8.46,0,0.68
392,311,107,3,2.0,2.5,8.56,0,0.68
393,329,114,4,3.5,3.5,9.1,1,0.85
394,315,101,2,2.5,2.5,8.68,0,0.74
395,326,113,4,5.0,4.0,9.16,1,0.89
396,322,109,3,3.5,4.0,8.93,1,0.8
397,321,108,3,3.0,3.5,9.08,1,0.82
398,327,115,4,5.0,4.5,9.51,1,0.9
399,314,102,3,3.5,4.5,8.86,0,0.67
400,332,115,4,5.0,4.0,9.54,1,0.93
